Rank,TeamCountry,Gold,Silver,Bronze
1,United States of America,39,41,33
2,People's Republic of China,38,32,18
3,Japan,27,14,17
4,Great Britain,22,21,22
5,ROC,20,28,23
6,Australia,17,7,22
7,Netherlands,10,12,14
8,France,10,12,11
9,Germany,10,11,16
10,Italy,10,10,20
11,Canada,7,6,11
12,Brazil,7,6,8
13,New Zealand,7,6,7
14,Cuba,7,3,5
15,Hungary,6,7,7
16,Republic of Korea,6,4,10
17,Poland,4,5,5
18,Czech Republic,4,4,3
19,Kenya,4,4,2
20,Norway,4,2,2
21,Jamaica,4,1,4
22,Spain,3,8,6
23,Sweden,3,6,0
24,Switzerland,3,4,6
25,Denmark,3,4,4
26,Croatia,3,3,2
27,Islamic Republic of Iran,3,2,2
28,Serbia,3,1,5
29,Belgium,3,1,3
30,Bulgaria,3,1,2
31,Slovenia,3,1,1
32,Uzbekistan,3,0,2
33,Georgia,2,5,1
34,Chinese Taipei,2,4,6
35,Turkey,2,2,9
36,Greece,2,1,1
36,Uganda,2,1,1
38,Ecuador,2,1,0
39,Ireland,2,0,2
39,Israel,2,0,2
41,Qatar,2,0,1
42,Bahamas,2,0,0
42,Kosovo,2,0,0
44,Ukraine,1,6,12
45,Belarus,1,3,3
46,Romania,1,3,0
46,Venezuela,1,3,0
48,India,1,2,4
49,"Hong Kong, China",1,2,3
50,Philippines,1,2,1
50,Slovakia,1,2,1
52,South Africa,1,2,0
53,Austria,1,1,5
54,Egypt,1,1,4
55,Indonesia,1,1,3
56,Ethiopia,1,1,2
56,Portugal,1,1,2
58,Tunisia,1,1,0
59,Estonia,1,0,1
59,Fiji,1,0,1
59,Latvia,1,0,1
59,Thailand,1,0,1
63,Bermuda,1,0,0
63,Morocco,1,0,0
63,Puerto Rico,1,0,0
66,Colombia,0,4,1
67,Azerbaijan,0,3,4
68,Dominican Republic,0,3,2
69,Armenia,0,2,2
70,Kyrgyzstan,0,2,1
71,Mongolia,0,1,3
72,Argentina,0,1,2
72,San Marino,0,1,2
74,Jordan,0,1,1
74,Malaysia,0,1,1
74,Nigeria,0,1,1
77,Bahrain,0,1,0
77,Saudi Arabia,0,1,0
77,Lithuania,0,1,0
77,North Macedonia,0,1,0
77,Namibia,0,1,0
77,Turkmenistan,0,1,0
83,Kazakhstan,0,0,8
84,Mexico,0,0,4
85,Finland,0,0,2
86,Botswana,0,0,1
86,Burkina Faso,0,0,1
86,Côte d'Ivoire,0,0,1
86,Ghana,0,0,1
86,Grenada,0,0,1
86,Kuwait,0,0,1
86,Republic of Moldova,0,0,1
86,Syrian Arab Republic,0,0,1
